model,config,config_short,accuracy,f1_score,roc_auc,precision,recall,train_time_sec
LogisticRegression,LogisticRegression_C=1.0,LogisticRegression_C=1.0,0.737653451663259,0.7786323259252926,0.8031442091492936,0.8167028347890065,0.7445074635288806,2.8193249702453613
LogisticRegression,LogisticRegression_C=0.1,LogisticRegression_C=0.1,0.7385780635444456,0.7800447856869338,0.8037199582990491,0.8158522811913672,0.7475098055814215,1.5186541080474854
LogisticRegression,LogisticRegression_C=10,LogisticRegression_C=10,0.7358287429162934,0.7760245087778973,0.8021187856858741,0.81769344989606,0.7394678179406868,2.507071018218994
RandomForest,RandomForest_n_estimators=50_max_depth=None,RandomForest_n_estimators=50,0.740714495601436,0.7929418278961329,0.8096799006016173,0.78609830006216,0.7999492084991112,110.54704689979553
RandomForest,RandomForest_n_estimators=100_max_depth=10,RandomForest_n_estimators=100,0.7433517297756956,0.7889877585309568,0.806276423273714,0.8056788200486062,0.7730805045289089,3.924978017807007
RandomForest,RandomForest_n_estimators=200_max_depth=20,RandomForest_n_estimators=200,0.7461710749147235,0.7882556573780664,0.8229075212041238,0.8172700560739559,0.7613928158243742,41.50020480155945
GradientBoosting,GradientBoosting_n_estimators=50_max_depth=3_learning_rate=0.1,GradientBoosting_n_estimators=50,0.7492425826373272,0.7989756025769619,0.8207617443120938,0.7953827499785483,0.8030869945540224,8.113630771636963
GradientBoosting,GradientBoosting_n_estimators=100_max_depth=3_learning_rate=0.05,GradientBoosting_n_estimators=100,0.7488468245539956,0.7986959477964424,0.8208503312971247,0.7949932029261352,0.8029459070515534,14.86047887802124
GradientBoosting,GradientBoosting_n_estimators=200_max_depth=5_learning_rate=0.01,GradientBoosting_n_estimators=200,0.7496313414771387,0.8001035518050141,0.823031174606083,0.7933399975234758,0.8074324896300686,57.791651248931885
